,pv,kep
10,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 40.984910286694834;}, attitude=org.orekit.attitudes.Attitude@1fd93f18, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 40.984910286694834;}
11,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 44.699540626538784;}, attitude=org.orekit.attitudes.Attitude@8a99932, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 44.699540626538784;}
12,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 48.413629782832565;}, attitude=org.orekit.attitudes.Attitude@74e727a5, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 48.413629782832565;}
13,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 52.12714359557221;}, attitude=org.orekit.attitudes.Attitude@8163f96, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 52.12714359557221;}
14,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 55.840050349218835;}, attitude=org.orekit.attitudes.Attitude@5ee1e073, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 55.840050349218835;}
15,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 59.5523209043986;}, attitude=org.orekit.attitudes.Attitude@1ac59294, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 59.5523209043986;}
16,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 63.263928818201244;}, attitude=org.orekit.attitudes.Attitude@57d25466, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 63.263928818201244;}
17,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 66.97485045260225;}, attitude=org.orekit.attitudes.Attitude@6e813b85, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 66.97485045260225;}
18,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 70.68506507059169;}, attitude=org.orekit.attitudes.Attitude@3fb2bc5e, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 70.68506507059169;}
19,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 74.39455491965553;}, attitude=org.orekit.attitudes.Attitude@955d80e, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 74.39455491965553;}
20,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 78.10330530231509;}, attitude=org.orekit.attitudes.Attitude@4ce1dc26, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 78.10330530231509;}
21,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 81.81130463349297;}, attitude=org.orekit.attitudes.Attitude@2b5b9b2c, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 81.81130463349297;}
22,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 85.51854448453494;}, attitude=org.orekit.attitudes.Attitude@1a19255, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 85.51854448453494;}
23,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 89.22501961377868;}, attitude=org.orekit.attitudes.Attitude@2613afc7, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 89.22501961377868;}
24,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 92.9307279836203;}, attitude=org.orekit.attitudes.Attitude@645147cf, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 92.9307279836203;}
25,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 96.63567076408867;}, attitude=org.orekit.attitudes.Attitude@13a43292, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 96.63567076408867;}
26,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 100.33985232299575;}, attitude=org.orekit.attitudes.Attitude@1e9a3989, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 100.33985232299575;}
27,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 104.04328020278655;}, attitude=org.orekit.attitudes.Attitude@254cc00a, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 104.04328020278655;}
28,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 107.74596508426714;}, attitude=org.orekit.attitudes.Attitude@4bcd8453, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 107.74596508426714;}
29,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 111.44792073744044;}, attitude=org.orekit.attitudes.Attitude@79cf1f1a, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 111.44792073744044;}
30,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 115.14916395973017;}, attitude=org.orekit.attitudes.Attitude@365637db, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 115.14916395973017;}
31,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 118.84971450192027;}, attitude=org.orekit.attitudes.Attitude@75d9fd8b, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 118.84971450192027;}
32,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 122.54959498218163;}, attitude=org.orekit.attitudes.Attitude@5211007f, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 122.54959498218163;}
33,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 126.24883078860195;}, attitude=org.orekit.attitudes.Attitude@5327f2e8, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 126.24883078860195;}
34,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 129.94744997067178;}, attitude=org.orekit.attitudes.Attitude@54c8ffb8, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 129.94744997067178;}
35,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 133.64548312021967;}, attitude=org.orekit.attitudes.Attitude@6e47650f, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 133.64548312021967;}
36,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 137.34296324232173;}, attitude=org.orekit.attitudes.Attitude@348f9240, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 137.34296324232173;}
37,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 141.0399256167437;}, attitude=org.orekit.attitudes.Attitude@5853968b, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 141.0399256167437;}
38,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 144.73640765050314;}, attitude=org.orekit.attitudes.Attitude@4b759706, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 144.73640765050314;}
39,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 148.43244872216513;}, attitude=org.orekit.attitudes.Attitude@1ecfec7a, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 148.43244872216513;}
40,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 152.12809001851033;}, attitude=org.orekit.attitudes.Attitude@569a7071, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 152.12809001851033;}
41,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 155.82337436423487;}, attitude=org.orekit.attitudes.Attitude@12b943e7, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 155.82337436423487;}
42,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 159.51834604536143;}, attitude=org.orekit.attitudes.Attitude@75932b11, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 159.51834604536143;}
43,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 163.21305062705915;}, attitude=org.orekit.attitudes.Attitude@14dea5e5, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 163.21305062705915;}
44,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 166.9075347665824;}, attitude=org.orekit.attitudes.Attitude@11c246f7, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 166.9075347665824;}
45,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 170.60184602205416;}, attitude=org.orekit.attitudes.Attitude@49bc9953, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 170.60184602205416;}
46,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 174.29603265782794;}, attitude=org.orekit.attitudes.Attitude@251be8d6, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 174.29603265782794;}
47,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 177.99014344717312;}, attitude=org.orekit.attitudes.Attitude@440b801d, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 177.99014344717312;}
48,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 181.6842274730334;}, attitude=org.orekit.attitudes.Attitude@47fd8395, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 181.6842274730334;}
49,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 185.37833392761374;}, attitude=org.orekit.attitudes.Attitude@6aa6fc38, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 185.37833392761374;}
50,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 189.07251191155484;}, attitude=org.orekit.attitudes.Attitude@1081f4e2, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 189.07251191155484;}
51,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 192.76681023345319;}, attitude=org.orekit.attitudes.Attitude@8929587, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 192.76681023345319;}
52,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 196.46127721048586;}, attitude=org.orekit.attitudes.Attitude@23d85e2b, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 196.46127721048586;}
53,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 200.15596047089568;}, attitude=org.orekit.attitudes.Attitude@7ec23154, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 200.15596047089568;}
54,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 203.8509067590873;}, attitude=org.orekit.attitudes.Attitude@61fbec8a, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 203.8509067590873;}
55,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 207.54616174407926;}, attitude=org.orekit.attitudes.Attitude@7d59639f, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 207.54616174407926;}
56,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 211.24176983204728;}, attitude=org.orekit.attitudes.Attitude@1c114319, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 211.24176983204728;}
57,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 214.9377739836848;}, attitude=org.orekit.attitudes.Attitude@73b6995e, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 214.9377739836848;}
58,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 218.63421553709327;}, attitude=org.orekit.attitudes.Attitude@4d17a41e, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 218.63421553709327;}
59,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 222.33113403690015;}, attitude=org.orekit.attitudes.Attitude@7be463b8, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 222.33113403690015;}
60,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 226.0285670702857;}, attitude=org.orekit.attitudes.Attitude@6d7bee56, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 226.0285670702857;}
61,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 229.7265501105803;}, attitude=org.orekit.attitudes.Attitude@2a40e6ce, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 229.7265501105803;}
62,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 233.4251163690734;}, attitude=org.orekit.attitudes.Attitude@5a0790cc, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 233.4251163690734;}
63,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 237.12429665564804;}, attitude=org.orekit.attitudes.Attitude@2a6d197, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 237.12429665564804;}
64,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 240.82411924883363;}, attitude=org.orekit.attitudes.Attitude@309d96cb, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 240.82411924883363;}
65,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 244.52460977583553;}, attitude=org.orekit.attitudes.Attitude@1d466080, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 244.52460977583553;}
66,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 248.22579110307078;}, attitude=org.orekit.attitudes.Attitude@7b211214, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 248.22579110307078;}
67,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 251.92768323770545;}, attitude=org.orekit.attitudes.Attitude@4fbf4e8e, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 251.92768323770545;}
68,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 255.63030324065107;}, attitude=org.orekit.attitudes.Attitude@13c8a27c, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 255.63030324065107;}
69,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 259.33366515143797;}, attitude=org.orekit.attitudes.Attitude@3da482e5, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 259.33366515143797;}
70,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 263.0377799253427;}, attitude=org.orekit.attitudes.Attitude@4ee686f7, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 263.0377799253427;}
71,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 266.74265538310016;}, attitude=org.orekit.attitudes.Attitude@7b986a9b, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 266.74265538310016;}
72,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 270.44829617348523;}, attitude=org.orekit.attitudes.Attitude@2d15fcd6, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 270.44829617348523;}
73,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 274.1547037489979;}, attitude=org.orekit.attitudes.Attitude@34bfe03b, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 274.1547037489979;}
74,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 277.8618763548357;}, attitude=org.orekit.attitudes.Attitude@4e940965, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 277.8618763548357;}
75,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 281.56980903128084;}, attitude=org.orekit.attitudes.Attitude@76e06e9e, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 281.56980903128084;}
76,"SpacecraftState{orbit=Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 285.2784936295765;}, attitude=org.orekit.attitudes.Attitude@7491dfd8, mass=1000.0, additional={}}",Keplerian parameters: {a: 7000000.0; e: 0.0016; i: 98.0; pa: 0.2; raan: 90.0; v: 285.2784936295765;}
